,text
0,아 더빙 진짜 짜증나네요 목소리
1,흠 포스터 보고 초딩 영화 줄 오버 연기 조차 가볍지 않구나
2,너 무재 밓었 다그 래서 보는것을 추천 다
3,교도소 이야기 구먼 솔직히 재미 없다 평점 조정
4,사이 몬페 그 익살스런 연기 돋보였던 영화 스파이더맨 에서 늙어 보이기만 했던 커스틴 던스트 너무나도 이뻐 보였다
5,막 걸음 마 뗀 세 부터 초등학교 학년 생인 살용 영화 별 반개 아까 움
6,원작 긴장감 을 제대로 살려내지못 했다
7,별 반개 아깝다 욕 나온다 이응경 길용우 연 기 생활 몇 년 인지 정말 발 로 해도 그것 보단 낫겟다 납치 감금 만 반복 반복 드라마 가족 없다 연기 못 하는 사람 만 모 엿 네
8,액션 없는데도 재미 있는 몇 안되는 영화
9,왜케 평점 낮은건데 꽤 볼 만 데 헐리우드 식 화려함에만 너무 길들여져 있나
10,인피니트 짱 이다 진짜 짱 이다
11,볼때 마다 눈물나서 죽겠다 년대 향수 자극 허진호 감성 절제 멜로 달인 이다
12,울면 서 손 고 횡단보도 건널 때 뛰 쳐나 올 뻔 이범수 연기 드럽게 못 해
13,담백하고 깔끔해서 좋다 신 문 기 사 로만 보다 보면 자꾸 잊어버린다 그 사람 이었다는 것 을
14,취향 존중 다지 만 진짜 내생 극장 에서 본 영화 중 가장 노잼 노 감동 임 스토리 어거지 고 감동 어거지
15,냥 매번 긴장 되고 재밋음
16,참 사람 웃긴게 바스코 이기 면 락스 코 라고 까고 바비 이기 면 아이돌 이라고 깐다 그냥 까고싶어서 안달 난 것 처럼 보인다
17,굿바이 레닌 표절 인 것 이해 하는데 왜 뒤 로 갈수록 재미 없어지냐
18,이건 정말 깨알 캐스팅 질퍽 하 지 않은 산뜻한 내 용구성 버무러진 깨알 일드
19,약탈 위 변명 이라 저 놈 착한 놈 절대 아닌 걸 요
20,나름 심오한 뜻 있는 듯 그냥 학생 선생 놀아나는 영화 절대 아님
21,보면서 웃지 않는 건 불가능하다
22,재미없다 지루하고 같은 음식 영화 인데 바베트 만찬 하고 넘 차이남 바베트 만찬 이야기 있고 음식 보는 재미 있는데 이건 볼 게 없다 음식 별로 안 나오고 핀란드 풍경 이라도 구 경 할랫 는데 그것 별로 안 나옴
23,절대 평범한 영화 아닌 수작 이라 는걸 말씀드립니다
24,주제 좋은데 중반 부터 지루하다
25,다 짤랐을꺼 야 그래서 납득 할 수 없었던거야 그럴꺼야 꼭 그랬던걸 꺼야
26,고추 털어 버려야 할텐데
27,카밀라 벨 발연기
28,재밋는뎅
29,센스 있는 연출 력 탁월한 캐스팅 년대 향수 그래서 점
30,엄포스 위력 을 다시 한번 깨닫게 해준 적 남 꽃 검사 님 연기 정말 좋았어요 완전 명품 드라마
31,졸 쓰레기 진부하고말 도안 됌 아 시간 아까워
32,재밌는데 별 점 왜 이리 낮은고
33,라도 기대했던 내 죄인 입니다 죄인 입니다
34,아직도 드라마 내 인생 최고
35,패션 대한 열정 안나 윈 투어
36,키이라 나이틀리 연기 하고자 했던건 대체 정신장애 일까 틱장애 일까
37,허허 원작 정신 나간 유령 이라 재미있겠네요
38,포스터 있어 보이는데 관객 명 이네
39,영화 왜 이렇게 저 평가 받는지 모르겠다
40,단순하면서 은은한 매력 영화
41,다 알바생 인가 내용 없고 무서운거도 없고 웃긴거도 하나 없음 완전 별 싱거운 영화 내 시간 넘 아까 움 완전 낚임
42,오게 두어라 서리 굶주렸다
43,정말 맘 들어요 그래서 또 보고싶은데 또 보는 방법 없네
44,윤제문 이라는 멋진 배우 발견 하게 됐어요 소소한 일 탈 잔잔한 미소 머금 게 합니다 음악 조금 아쉽네요 점 주고 싶은데 평점 올리고 싶어 점 줄게요
45,평점 속지 마시길 시간 낭비 돈 낭비 임
46,리얼리티 뛰어나긴 한데 큰 공감 안 간다 이민기 캐릭터 정신의학 상 분노조절 장애 초기 증상 일거다 툭하면 사람 패 고 욕 하고 물건 파손 하고 조금 오 바 였음 극 초반 엔 신선했는데 가면 갈수록 이민기 정신 상태 공감 불가
47,마이너스 왜 없냐 뮤비 보고 영화 수준 딱 알 만 하더군 북한 에서 이런거 만들라고 돈 대주던
48,난 우리 영화 사랑 합니다
49,데 너 리스 타르 가르엔 나도 용의 주인 되고 싶다 누 이랑 근친상간 이나 하고 다닐지라도 소설 속 에선 제일 멋진 놈 메 라 니스 터 였는데 드라마 속 에선 드래곤 용 제일 멋지네 웃음 감독 님 토르 다크 월드 말 아 잡수셨을지라도 기본 선방 했음
50,영화 사람 영혼 을 어루만져 줄 수도 있군요 거친 세 상사 잠시 잊고 동화 같은 영화 행복했네요
51,야 세르게이 작은 고추 매운 맛 을 보여주마 포퐁 저그 콩 진호 간다
52,이렇게 가슴 시리 게 본 드라마 또 있을까 감동 그 자체
53,난또 저 꼬마 애가 무슨 원한 깊길래 했더니 그냥 혼자 나대다 걸 어쩌라고
54,재미있어요
55,전 좋아요
56,최고
57,너무 충격 적이엇다 기분 을 완전히 푹 꺼지게 하는 느낌 활 력 이라고는 하나 없는 너무나도 무거운 지독하고 차갑고 무자비하다 그저 일본인 상상력 정말 대단한거 같다는 생각 든다
58,심심한 영화
59,백봉기 언제 나오나요
60,보는내내 그대로 들어맞는 예측 카리스마 없는 악역
61,불알 나와서 당황 아무튼 영화 중간 끝나는 느낌
62,평범함 속 녹아든 평범한 일상 조금 밋밋한게 흠
63,보던거라 계속 보고있는데 전개도 느리고 주인공 인 은희 한두 컷 나오면서 소 극적 인 모습 짜증 맨날 언제 끝나나 기 대만 하고 있어요 전개 빨리 빨리
64,사랑 하고 싶게하는 가슴속 온 감정 을 헤집어놓는 영화 예요 정말 최고
65,많은 사람 다큐 보고 우리나라 슬픈 현대 사의 단면 대해 깊이 생각 하고 사죄 하고 바로 잡기 위해 노력 했으면 합니다 말로 만 듣던 보도 연맹 그 민간인 학살 이정 일 줄 이야 이건 명백한 살인 입니다 살인자 다 어디 있나요
66,예전 작품 캐릭터 에피소드 재탕 삼 탕 사골 우려 먹듯 우리 고 내용 산 가고 시청률 아예 안 나오고 이제 회 중반 인데 부작 이라니
67,김남길 백 점 짜리 연기력 초반 몰입도 에도 불구 하고 지루하고 손예진
68,재밌네 비슷한 영화 안 보신 분 한테 재미있을 듯
69,노래실력 뽑는게 맞냐 박시환 나가면 진짜 망신 이다
70,아 일본 영화 다 이런 건가 유치하다
71,이틀 만에 다 봤어요 재밌어요 근데 차 안 물건 넣어 조작 하려고 하면 차 안이 열려있다던지 집 안이 활짝 열려서 아무나 들어간다던가 문자 조작 하려고하면 비번 안 걸려있고 그런 건 억지스러웠는데 그래도 내용 자체 좋았어요
72,졸작
73,재밋네 요 달팽이 빨 라서 더 재밌었어요
74,어설픈 전개 어이없는 결말
75,부패한 로마노프 왕조 기리 뭣같 영화 온몸 항거 했던 러시아 민중 그저 폭도 냐
76,내용 전개 무난 편이였구 보았습니다
77,매우 실망
78,한국영 화 흥행 코드 갈등 갈등 계 속 갈등 화해 감동 평점 점 남발 흥행 뻔하지 뭐
79,아햏햏 아햏햏 아햏햏
80,뭐 냐 시작 하고 분만 나왔다 리플릿 사진 보며 불안하더니만
81,단연 최고 라고 할수있지
82,감독 럼 먹고 영화 만들었나보다 관객 에게 뭘 말 하는지도 모르겠고 엉망 진창 개 진창 이다
83,이건 뭐 냐 우뢰매 냐
84,정말 쓰레기 영화 입니다
85,진정 위대한 영화 최고 임
86,별루 였다
87,내일 기대 되는
88,근데 조미 막문위 좋아한건 가요
89,진짜 골깜 눈 부라릴 때 쓰러짐
90,성룡 영화 중 최악 인 듯
91,골 때리네 걸스데이 이혜리 되라
92,서기 이뻐서
93,완전 재밌어요 백 인공 주귀 여 움
94,인상 적 인 영화 였다
95,어내스트 셀레스틴 완전 강추 에요 정말 재밌습니다
96,재미있는 영화 입니다
97,클라라 볼라 고 화신 본거 아닌데
98,진짜 보면서 너무 슬펐던 영화 다
99,설정 재밌고 새로운 에피소드 내 에서 메인 스토리 차차 나오는게 재밌음
100,신카이 마코토 작화 미 유 하나 카나 연기 해줘서 더 대박 였다
101,재미없음 진심 이훨 나 캐스팅 두 못 듯
